No | KKKS | NDP | Tender Title | Expected Invitation Date | Currency | Estimated Value | Minimum TKDN
16 | BP TANGGUH (BERAU) | A002-24-B-000020 | Tangguh Site Transportation Service | Januari 2026 | IDR | 114837058456 | 85
17 | BP TANGGUH (BERAU) | A002-25-B-000001 | Landscape, Waste, and Water Management Services | Januari 2026 | IDR | 130558513538 | 75
18 | BP TANGGUH (BERAU) | A002-25-B-000005 | Hazardous Waste Handling & Transportation Service | Januari 2026 | IDR | 536573320000 | 75
19 | BP TANGGUH (BERAU) | A002-25-B-000014 | Terminal Operation and Maintenance Services | April 2026 | IDR | 186029460200 | 90
20 | BP TANGGUH (BERAU) | A002-25-A-000034 | Tangguh LNG Operational Maintenance Support Services | April 2026 | IDR | 197797745000 | 95
21 | BP TANGGUH (BERAU) | A002-25-B-000031 | MTCP for PSV to Support Cargo Running UCC Wells Operations | Januari 2026 | USD | 78195976 | 85
22 | BP TANGGUH (BERAU) | A002-25-B-000032 | MTCP for PSV to Support Mud Cutting UCC Wells Operations | Januari 2026 | USD | 53034131 | 85
23 | BP TANGGUH (BERAU) | A002-25-B-000033 | Provision for AHTS to Support Rig Moves UCC Wells Operations | Januari 2026 | USD | 20743664 | 85
24 | BP TANGGUH (BERAU) | A002-25-B-000035 | Provision of Tubular Running and Conductor Driving Services for Tangguh UCC Project | Januari 2026 | USD | 16500000 | 55
25 | BP TANGGUH (BERAU) | A002-25-A-000032 | Integrity Build Services For Ubadari, Tangguh EGR/CCUS, And Tangguh Onshore Compression (UCC) Project | Januari 2026 | IDR | 42778800000 | 97
26 | BP TANGGUH (BERAU) | A002-25-B-000029 | Tangguh LNG Inspection and Certification Services | Januari 2026 | IDR | 15804535000 | 90
27 | BP TANGGUH (BERAU) | A002-25-B-000036 | Provision of Casing and Cementing Accessories for Tangguh UCC Project | Januari 2026 | USD | 4900000 | 20
28 | BP TANGGUH (BERAU) | A002-25-B-000044 | Storage & Records Management Services | Januari 2026 | IDR | 20000000000 | 80
29 | BP TANGGUH (BERAU) | A002-25-B-000050 | Seismic 2D Reprocessing Tangguh Southeast | Januari 2026 | IDR | 4950000000 | 20
30 | BP TANGGUH (BERAU) | A002-25-B-000051 | Provision of Wellsite Operation Consultancy for UCC Project | Januari 2026 | USD | 4000000 | 42
31 | BP TANGGUH (BERAU) | A002-25-B-000052 | Provision of H2S Services For Tangguh UCC Project | Januari 2026 | USD | 273750 | 75
32 | BP TANGGUH (BERAU) | A002-25-B-000053 | Oil spill response equipment (OSRE) rental | Januari 2026 | IDR | 6571400000 | 85
33 | PHE ONWJ | A003-25-A-050026 | ESP Material and Installation Services | Januari 2026 | IDR | 254471607488 | 15
34 | PHE ONWJ | A003-25-A-050014 | Time Charterparty for FSO at Ardjuna Marine Terminal | Februari 2026 | USD | 105000000 | 80
35 | PHE ONWJ | A003-25-A-050032 | EPCI for OPL MRA Pipeline Project Services | Februari 2026 | USD | 11367714 | 60
36 | PHE ONWJ | A003-25-A-050033 | EPCI UNTUK PROYEK PENGEMBANGAN WATERFLOOD STRUKTUR B-3 | Februari 2026 | USD | 45000000 | 49
37 | PHE ONWJ | A003-25-A-050037 | Jasa Pengamanan (Offshore) | Februari 2026 | IDR | 150000000000 | 90
38 | PHE ONWJ | A003-25-A-050045 | Technical Services Contract for Pump & Mechanical Utility Maintenance Repair and Services | Januari 2026 | IDR | 200000000000 | 30
39 | PHE ONWJ | A003-25-A-050047 | Technical Services Contract for Solar Turbomachinery Maintenance Overhaul Repair & Services | Januari 2026 | USD | 60000000 | 5
40 | PHE ONWJ | A003-25-A-050051 | Diving and Related Services for Portable Air Diving and ROV Services | Februari 2026 | IDR | 126000000000 | 75
41 | PHE ONWJ | A003-25-A-050053 | Pipeline Inline Inspection | Februari 2026 | IDR | 135000000000 | 70
42 | PHE ONWJ | A003-25-A-050054 | Integrated Statutory Inspection and Certification Services (Paket A) | Februari 2026 | IDR | 30250000000 | 90
43 | PHE ONWJ | A003-25-A-050066 | Coil Tubing Unit and Stimulation Services | Februari 2026 | USD | 40563151 | 45
44 | PHE ONWJ | A003-25-B-050103 | Kontrak Jasa teknis Untuk Pekerjaan Inspeksi, Pemeliharaan dan Perbaikan Fasilitas Bawah Air | Januari 2026 | IDR | 335000000000 | 75
45 | PHE ONWJ | A003-25-B-050113 | Pengadaan Material Flow Assurance Treatment for Zulu f/s | Januari 2026 | IDR | 85000000000 | 0
46 | PHE ONWJ | A003-25-B-050115 | Technical Service Contract For Pump & Mechanical Utility Maintenance Repair and services (Paket B - East) | Januari 2026 | IDR | 89000000000 | 30
47 | PHE ONWJ | A003-25-A-050041 | Survei Seimik 3D Zulu Area ONWJ Zona 5 (46.4 KM2 FullFold) | Maret 2026 | IDR | 140000000000 | 50
48 | PHE ONWJ | A003-23-B-L20018 | Cementing & Bulk Plant Services | Februari 2026 | USD | 11058451 | 40
49 | PHE ONWJ | A003-23-B-L20020 | Tubing Conveyed Perforated (TCP) Services | Januari 2026 | USD | 9383715 | 60
50 | PHE ONWJ | A003-23-B-L20028 | Drilling Fluid Services | Februari 2026 | USD | 32447339 | 35
51 | PHE ONWJ | A003-23-B-L20033 | Time Charterparty AHTS to Support Drilling Rig PHE ONWJ #4 (Time Charterparty | Februari 2026 | IDR | 138881046150 | 80
52 | PHE ONWJ | A003-23-B-L20037 | Time Charter Party for AHTS to Support Drilling PHE ONWJ #5 | Januari 2026 | IDR | 138881046150 | 80
53 | PHE ONWJ | A003-24-B-052017 | Consignment Agreement for the Purchase of Chemical | Februari 2026 | IDR | 250000000000 | 25
54 | PHE ONWJ | A003-24-B-L20070 | Completion Material and Services - Package A | Februari 2026 | IDR | 536561133777 | 19
55 | PHE ONWJ | A003-25-A-050017 | Time Charterparty for 6 Call-Out Utility Boats | Januari 2026 | IDR | 266594640000 | 85
56 | PHE ONWJ | A003-25-A-050021 | Time Charterparty for 2 (two) Utility Boat to Support PHE ONWJ Operation | Februari 2026 | IDR | 136987720000 | 85
57 | PHE ONWJ | A003-25-A-050023 | Time Charterparty for 8 (eight) Utility Boat to Support PHE ONWJ Operation | Januari 2026 | IDR | 493843400000 | 85
58 | PHE ONWJ | A003-25-A-050024 | Helicopter Service Contract for Light Helicopter Services to Support Operation, Drilling and Emergency | Februari 2026 | IDR | 196212959220 | 70
59 | PHE ONWJ | A003-25-A-050025 | Helicopter Service Contract for Emergency Assistant | Januari 2026 | IDR | 409250055000 | 70
60 | PHE ONWJ | A003-26-A-050030 | Time Charterparty for Patrol Boat to Support PHE ONWJ #1 | Desember 2026 | IDR | 58336681815 | 85
61 | PHE ONWJ | A003-26-A-050031 | Time Charterparty for Patrol Boat to Support PHE ONWJ #2 | Desember 2026 | IDR | 58336681815 | 85
62 | PHE ONWJ | A003-26-A-050033 | Time Charterparty for Utility Boat to Support PHE ONWJ #2 | September 2026 | IDR | 59533040000 | 85
63 | PHE ONWJ | A003-26-A-050034 | Time Charterparty for Utility Boat to Support PHE ONWJ #3 | Desember 2026 | IDR | 59533040000 | 85
64 | PHE ONWJ | A003-26-A-050035 | Time Charterparty for Utility Boat to Support PHE ONWJ #4 | Desember 2026 | IDR | 59533040000 | 85
65 | PHE ONWJ | A003-26-A-050036 | Time Charterparty for Utility Boat to Support PHE ONWJ #5 | Desember 2026 | IDR | 59533040000 | 85
66 | PHE ONWJ | A003-26-A-050040 | Floating Storage Offloading Arco Ardjuna Lay Up Service (Long term) | Juni 2026 | IDR | 221000000000 | 75
67 | PHE ONWJ | A003-26-A-050047 | Time Charterparty for FSO at Arjuna Marine Terminal | Februari 2026 | USD | 85000000 | 75
68 | PHE ONWJ | A003-26-A-050050 | Kontrak Jasa Teknis Pekerjaan Fabrikasi, Instalasi dan Modifikasi (Paket A dan Paket B) | Desember 2026 | IDR | 1290000000000 | 80
69 | PHE ONWJ | A003-26-A-L00002 | Geohazard Survey Services | Oktober 2026 | USD | 5431230 | 75
70 | PHE ONWJ | A003-26-A-L00004 | Tubing Handling Services | Desember 2026 | USD | 4071520 | 80
71 | PHE ONWJ | A003-26-A-L00005 | Fracturing & Gravel Pack Services | Juni 2026 | USD | 18814243 | 50
72 | PHE ONWJ | A003-26-A-L00006 | Drilling Rig Services | Agustus 2026 | USD | 250371102 | 20
73 | PHE ONWJ | A003-26-A-050008 | Penyediaan Tenaga Alih Daya PHE ONWJ Paket B | Mei 2026 | IDR | 592529806448 | 90
74 | PHE ONWJ | A003-26-A-050010 | Marine Time Charter Contract for Liftboat No. 1 Services | Maret 2026 | USD | 75802069 | 80
75 | PHE ONWJ | A003-26-A-050011 | Marine Time Charter Contract for Liftboat No. 3 Services | Maret 2026 | USD | 75802069 | 80
76 | PHE ONWJ | A003-26-A-050014 | Pengadaan Conductor 30" dengan Sistem COO di PHE ONWJ | Juni 2026 | IDR | 73000000000 | 25
77 | PHE ONWJ | A003-26-A-050024 | Real Time Monitoring Operation Services | September 2026 | IDR | 30295003420 | 85
78 | PHE ONWJ | A003-26-A-050028 | Time Charterparty for Crew Boat to Support PHE ONWJ | Mei 2026 | IDR | 100475000000 | 85
79 | JOB PERTAMINA - MEDCO E&P SIMENGGARI S | A004-26-A-000001 | Jasa Pengamanan di Wilayah Kerja JOB Pertamina-Medco E&P Simenggaris | Februari 2026 | IDR | 17376219178 | 90
80 | JOB PERTAMINA - MEDCO E&P SIMENGGARI S | A004-26-A-000004 | Wireline Logging & Perforating Services for Simenggaris Block | Januari 2026 | USD | 1108961 | 55
81 | JOB PERTAMINA - MEDCO E&P SIMENGGARI S | A004-26-A-000003 | Jasa Transportasi Laut di Blok Simenggaris, Kalimantan Utara | September 2026 | IDR | 9265000000 | 85
82 | JOB PERTAMINA - MEDCO E&P SIMENGGARI S | A004-26-A-000002 | General Consultant Services | Juli 2026 | IDR | 9517738090 | 90
83 | INPEX MASELA LTD. | A017-25-A-000003 | EPCI for GEP and CCS Pipeline, Abadi LNG Project | Juni 2026 | USD | 1000000000 | 10
84 | INPEX MASELA LTD. | A017-25-A-000004 | EPCI for SURF, Abadi LNG Project | Juni 2026 | USD | 1611000000 | 10
85 | INPEX MASELA LTD. | A017-26-A-000001 | Mobile Offshore Drilling Unit (MODU) for Abadi LNG Project | November 2026 | USD | 471124200 | 10
86 | INPEX MASELA LTD. | A017-26-A-000002 | FPCI for FPSO, Abadi LNG Project (EPCI Phase) | Juni 2026 | USD | 3300000000 | 13
87 | INPEX MASELA LTD. | A017-26-A-000005 | Corporate Travel Services 2026 (Bridging) | Januari 2026 | IDR | 21764125000 | 55
88 | INPEX MASELA LTD. | A017-26-A-000006 | Corporate Travel Services | Mei 2026 | IDR | 100000000000 | 55
89 | INPEX MASELA LTD. | A017-26-A-000007 | Formalities Services | September 2026 | IDR | 19171679234 | 90
90 | INPEX MASELA LTD. | A017-26-A-000008 | Manpower Supply for Technical | November 2026 | IDR | 340566878223 | 90
91 | INPEX MASELA LTD. | A017-26-A-000009 | Manpower Supply for Non-Technical | November 2026 | IDR | 229274587154 | 90
92 | INPEX MASELA LTD. | A017-26-A-000010 | FPCI for Onshore LNG, Abadi LNG Project (EPCI Phase) | Juni 2026 | USD | 11410000000 | 36
93 | INPEX MASELA LTD. | A017-26-A-000035 | EPC Subsea Production System, Abadi LNG Project | Juni 2026 | USD | 531000000 | 5
94 | INPEX MASELA LTD. | A017-25-A-000007 | Completion Material and Tooling Design Verification Services | Januari 2026 | IDR | 11352512000 | 50
95 | INPEX MASELA LTD. | A017-25-A-000009 | Mobile Offshore Drilling Unit (MODU) Inspection Services for Deepwater Drilling Operations | Januari 2026 | IDR | 5667750000 | 5
96 | INPEX MASELA LTD. | A017-25-B-000016 | Financial Due Diligence Services | Februari 2026 | IDR | 11432000000 | 75
97 | INPEX MASELA LTD. | A017-26-A-000012 | Communication Collateral, Event Organizing & Media Management Services | Februari 2026 | IDR | 25000000000 | 55
98 | INPEX MASELA LTD. | A017-26-A-000013 | Social Investment Program | Februari 2026 | IDR | 23610000000 | 55
99 | INPEX MASELA LTD. | A017-26-A-000014 | Livelihood Restoration Program | Februari 2026 | IDR | 33000000000 | 55
100 | INPEX MASELA LTD. | A017-26-A-000015 | Vocational Skill Program | Februari 2026 | IDR | 13200000000 | 85
101 | INPEX MASELA LTD. | A017-26-A-000018 | MPQT- Local Pipe Manufacture | Februari 2026 | USD | 3915000 | 30
102 | INPEX MASELA LTD. | A017-26-A-000020 | Well Barrier and Additional OLGA Modules License Purchase and Maintenance | Januari 2026 | USD | 848700 | 5
103 | INPEX MASELA LTD. | A017-26-A-000021 | Additional Landmark License Purchase and Maintenance | Januari 2026 | USD | 985850 | 0
104 | INPEX MASELA LTD. | A017-26-A-000022 | Digital Solution Development, Implementation and Improvement | Maret 2026 | IDR | 11727700000 | 0
105 | INPEX MASELA LTD. | A017-26-A-000023 | Network Backbone at OLNG site as surrounding area | Februari 2026 | IDR | 13625049207 | 75
106 | INPEX MASELA LTD. | A017-26-A-000024 | OLGA, PIPESIM, Petrel, Flaresim and Well Barrier Software Maintenance | November 2026 | USD | 2117090 | 5
107 | INPEX MASELA LTD. | A017-26-A-000025 | Qualification Test for Mechanically Line Pipe (MLP) Flowline | Maret 2026 | USD | 776000 | 30
108 | JOB PERTAMINA - MEDCO E&P TOMORI SULAWESI | A019-25-A-SCM001 | Jasa Penyewaan dan Pengoperasian 1 (satu) unit LCT | Mei 2026 | IDR | 8145450000 | 75
109 | JOB PERTAMINA - MEDCO E&P | A019-25-B-SCM012 | Pengadaan Material Blanket Kontrak Steam Turbin Generator | Januari 2026 | IDR | 12231199000 | 0
110 | JOB PERTAMINA - MEDCO E&P TOMORI SULAWESI | A019-25-B-BSD002 | ERP Support & Development | Januari 2026 | IDR | 22663713600 | 85
111 | EMP GEBANG LIMITED | A021-26-A-000001 | Provision of Forklift and Skid Steer Loader Services | Januari 2026 | IDR | 1936750000 | 75
112 | EMP GEBANG LIMITED | A021-26-A-000002 | Provision of Drilling Software Services | Januari 2026 | USD | 225000 | 0
113 | EMP GEBANG LIMITED | A021-26-A-000003 | Provision of Formation Evaluation for SCGS- 01 Services | Maret 2026 | USD | 904500 | 15
114 | EMP GEBANG LIMITED | A021-26-A-000004 | Provision of Coring for SCGS-01 Services | Maret 2026 | USD | 190045 | 80
115 | EMP GEBANG LIMITED | A021-26-A-000005 | Pengadaan Software PE Suites | Februari 2026 | USD | 169988 | 0
116 | EMP GEBANG LIMITED | A021-26-A-000006 | Pengadaan Software Petrel | Februari 2026 | USD | 853060 | 0
117 | EMP GEBANG LIMITED | A021-26-A-000007 | Pengadaan Software Petrophysics Modeling | Februari 2026 | USD | 133323 | 0
118 | EMP GEBANG LIMITED | A021-26-A-000008 | Pengadaan Software Geo & Geo Lite | Januari 2026 | USD | 146000 | 0
119 | EMP GEBANG LIMITED | A021-26-A-000009 | Pengadaan Jasa study Analisa Core & PVT Bruksah Fm di sumur SCGD-01 | Agustus 2026 | USD | 384490 | 80
120 | EMP GEBANG LIMITED | A021-26-A-000010 | Provision of Fuel for Drilling Campaign | Maret 2026 | IDR | 17165197500 | 40
121 | EMP BENTU LIMITED | A026-26-A-000003 | Provision of Gravel Pack for 6 wells | Februari 2026 | USD | 7200000 | 65
122 | EMP BENTU LIMITED | A026-26-A-000004 | Provision of EWL Services | Februari 2026 | USD | 5556000 | 60
123 | EMP BENTU LIMITED | A026-26-A-000002 | Provision of IDPM WK Bentu | Februari 2026 | USD | 105764073 | 65
124 | EMP BENTU LIMITED | A026-26-A-000001 | Jasa Engineering, Procurement, Construction, Installation (EPCI) Flowline-Flowline di Lapangan-Lapangan WK Bentu | Januari 2026 | USD | 28739338 | 60
125 | EMP BENTU LIMITED | A026-25-B-000016 | Jasa Engineering, Procurement, Construction, Installation (EPCI) Production Line CEN | Januari 2026 | USD | 23647736 | 65
126 | EMP BENTU LIMITED | A026-26-A-000008 | Provision of Completion Equipment and Services to Support | Januari 2026 | USD | 468526 | 40
127 | EMP BENTU LIMITED | A026-26-A-000009 | Electric Wireline Services | Januari 2026 | USD | 7300000 | 60
128 | EMP BENTU LIMITED | A026-26-A-000010 | Provision of CTU Services Sand Cleanout Job | Januari 2026 | USD | 760000 | 65
129 | EMP BENTU LIMITED | A026-26-A-000011 | Kontrak Bersama Jasa Akomodasi dan Paket Rapat EMP Grup | Maret 2026 | IDR | 63324880000 | 85
130 | EMP BENTU LIMITED | A026-26-A-000012 | Jasa Sewa Fire Truck dan Penyediaan Personel Fire Brigade dan Pendukung Lainya | Februari 2026 | IDR | 8244161800 | 80
131 | EMP BENTU LIMITED | A026-26-A-000013 | Pengadaan Mobile Test Separator dengan unit penggerak | Januari 2026 | IDR | 8480000000 | 0
132 | EMP BENTU LIMITED | A026-26-A-000014 | Provision of Wellhead Assembly Single Completion and Services – EMP Bentu Ltd | Januari 2026 | USD | 1107155 | 30
133 | EMP BENTU LIMITED | A026-26-A-000015 | Provision of Drilling Supervisor & Specialist Services - EMP Drilling Project | Mei 2026 | IDR | 35146194280 | 90
134 | EMP BENTU LIMITED | A026-26-A-000016 | Provision of Fishing Tools Services | Februari 2026 | USD | 600000 | 75
135 | EMP BENTU LIMITED | A026-26-A-000017 | Studi Analisa Laboratorium Batuan Inti Lapangan CEN dan Formasi Binio, WK Bentu | Januari 2026 | USD | 1651652 | 80
136 | EMP BENTU LIMITED | A026-26-A-000018 | Microseepage Exploration Survey | Januari 2026 | USD | 1533618 | 75
137 | EMP BENTU LIMITED | A026-26-A-000019 | Studi Integrated Basin Modeling Area Bentu dan Sekitarnya | Februari 2026 | USD | 600000 | 75
138 | EMP BENTU LIMITED | A026-26-A-000020 | Provision of Drilling & Workover Personnel Services | Juni 2026 | IDR | 60000000000 | 90
139 | EMP BENTU LIMITED | A026-25-B-000012 | Provision of CTU Services Sand Cleanout Job | Januari 2026 | USD | 4895333 | 65
140 | EMP BENTU LIMITED | A026-25-B-000013 | Pengoperasian dan Pemeliharaan (O&M) Pipa Penyalur Trunkline dan Flowline | Januari 2026 | IDR | 16829840000 | 75
141 | EMP BENTU LIMITED | A026-25-B-000014 | Pembuatan Lokasi Pengeboran (DSP) CEN-3 | Januari 2026 | IDR | 9853428700 | 77
142 | EMP BENTU LIMITED | A026-26-A-000005 | Provision of Slickline Services | Januari 2026 | USD | 736937 | 75
143 | EMP BENTU LIMITED | A026-26-A-000006 | Provision of Wireline Logging Services for TTP Job | Januari 2026 | USD | 543245 | 60
144 | EMP BENTU LIMITED | A026-26-A-000007 | Provision of Run in Hole Sucker Rod | Januari 2026 | USD | 141115 | 40
145 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000007 | Fuel Supply and Services for Daily Operatinal | Januari 2026 | IDR | 70613600000 | 0
146 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000002 | Integrated Drilling Services for Rancak Redevelopment Project | Februari 2026 | USD | 20550406 | 50
147 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000009 | Provision of PR & GA personnel sevices | September 2026 | IDR | 24905171036 | 0
148 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000010 | Provision of 3 department personnel sevice | September 2026 | IDR | 30628349438 | 0
149 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000011 | Provision of E&P , SHE , Exploration and Finance Department Personnel services | September 2026 | IDR | 25716716847 | 0
150 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000012 | Provosion of PC Laptop and Peripherals | Agustus 2026 | IDR | 16910533817 | 90
151 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000013 | Jasa-jasa tenaga kerja camp, catering, dan general support | Juli 2026 | IDR | 25468136542 | 0
152 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000014 | Jasa-jasa pekerja operation maintenance dan ground handling | Juli 2026 | IDR | 49426879169 | 0
153 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000015 | Jasa-Jasa Pekerjaan Inspeksi Pemeliharaan dan Perbaikan Fasilitas Subsea dan Marine TSB 2026 | Januari 2026 | IDR | 32873888000 | 0
154 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000001 | Drilling Rig Services for Rancak Redevelopment Project | Februari 2026 | USD | 5516501 | 70
155 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000008 | HR&IT Personnel and Medical Services | Juni 2026 | IDR | 18925775095 | 0
156 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000003 | Fishing Tools, Drilling Support Tools and Well Bore Clean Out (WBCO) Services for | Februari 2026 | USD | 2170263 | 65
157 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000004 | Fuel Supply Services for Rancak Redevelopment Project | Februari 2026 | USD | 4883713 | 75
158 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000005 | Oil Spill Response Equipment Services for Rancak Redevelopment Project | Maret 2026 | USD | 640529 | 75
159 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000006 | Project Personnel Services for Rancak Redevelopment Project | Maret 2026 | USD | 2620844 | 90
160 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000016 | Travel Management Service | Maret 2026 | IDR | 26501509637 | 70
161 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000017 | Rental Oil Spill Response Equipment | Maret 2026 | IDR | 15097500000 | 75
162 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000018 | Drilling Support Vessels Services for Rancak Redevelopment Project | April 2026 | USD | 3462139 | 70
163 | KANGEAN ENERGY INDONESIA LTD. | A029-26-A-000019 | Waste Management Services for Rancak Redevelopment Project | Maret 2026 | USD | 979388 | 65
164 | PHE WMO | A030-26-A-530004 | Penyediaan Jasa Tenaga Alih Daya (TAD) Untuk Menunjang Kegiatan Operasional Field WMO | Juni 2026 | IDR | 55755423877 | 90
165 | PHE WMO | A030-26-A-L40072 | Provision of Cased Hole Electric Logging Services | April 2026 | USD | 2400000 | 60
166 | PHE WMO | A030-26-A-L40074 | Penyediaan Downhole Equipment dan Instalasinya | Mei 2026 | IDR | 14000000000 | 35
167 | PHE WMO | A030-26-A-110084 | Penyediaan Sewa Harbour Tug | April 2026 | IDR | 40000000000 | 85
168 | PHE WMO | A030-26-A-110085 | Jasa Dukungan Operasi dan Pemeliharaan Marine | Juni 2026 | IDR | 16000000000 | 70
169 | PHE WMO | A030-26-A-110086 | Automation Maintenance Services | Juni 2026 | IDR | 15000000000 | 75
170 | PHE WMO | A030-25-A-110066 | Safety Equipment Maintenance & Emergency Response Preparedness | Februari 2026 | IDR | 10674047874 | 80
171 | PHE WMO | A030-25-A-110067 | Jasa Dukungan Monitoring Peralatan | April 2026 | IDR | 9900000000 | 85
172 | PHE WMO | A030-25-A-110095 | Pipeline Operation & Maintenance Services | April 2026 | IDR | 20000000000 | 60
173 | PHE WMO | A030-25-B-530164 | TFC CASING DAN TUBING HIGH GRADE CHROMIUM PREMIUM CONNECTION | April 2026 | USD | 100000 | 25
174 | PHE WMO | A030-25-B-530165 | TFC CASING HIGH GRADE & PREMIUM CONNECTION | April 2026 | USD | 100000 | 25
175 | PHE WMO | A030-25-B-530166 | TFC TUBING | April 2026 | USD | 100000 | 25
176 | PHE WMO | A030-25-B-110184 | Technical Services for Quality and Inspection | April 2026 | IDR | 15000000000 | 90
177 | PHE WMO | A030-25-A-110237 | Provision of QHSSE Management System and Contractor HSE Management System Services Zona 11 | April 2026 | IDR | 12542696191 | 80
178 | PHE WMO | A030-25-A-530251 | Sewa Layanan LAN Extention untuk Fasilitas Produksi SHU Regional 4 | Mei 2026 | IDR | 49227274000 | 60
179 | PHE WMO | A030-26-A-530003 | Pengadaan Bakar Minyak (BBM) | Juli 2026 | IDR | 676814580406 | 55
180 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-25-B-000016 | PROVISION OF RECYCLE COMPRESSOR FOR ARUNG NOWERA PROJECT | Januari 2026 | USD | 10800000 | 10
181 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-26-A-000001 | South Sumatera Region 3D Seismic Acquisition | Februari 2026 | IDR | 178000000000 | 50
182 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-26-A-000017 | Manpower Support Services (Wells I) | Mei 2026 | IDR | 75378623726 | 90
183 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-26-A-000018 | Security Support Service for PT MEdco E&P Indonesia | Mei 2026 | IDR | 121068677560 | 85
184 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-26-A-000019 | Building and Green Area Management Services | Juni 2026 | IDR | 140000000000 | 90
185 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-26-A-000034 | Call Off Order Fuel (Master Aggreement) | Oktober 2026 | IDR | 4073461035000 | 25
186 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-25-A-000025 | MANPOWER SUPPORT SERVICES (Jakarta MEPI) | Februari 2026 | IDR | 270709505003 | 90
187 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-25-A-000026 | Manpower Support Services (SSB- Lematang) | Februari 2026 | IDR | 292540782885 | 85
188 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-25-B-000017 | PROVISION OF GENERATOR GAS ENGINE FOR ARUNG NOWERA PROJECT | Januari 2026 | USD | 8226000 | 0
189 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-26-A-000013 | Patch Management Service | Mei 2026 | IDR | 8096995000 | 5
190 | MEDCO E&P INDONESIA (S&C SUMATERA), PT | A033-26-A-000014 | PDP Compliance Software License, Support, and Maintenance | Mei 2026 | IDR | 14850000000 | 5
